Name,Rank,Followers,Audience Country,Authentic Engagement,Engagement Avg.
825,157,43,32,810,6
538,212,97,3,670,772
954,208,162,11,521,664
652,809,95,3,770,63
341,397,343,32,795,1
892,181,285,32,439,493
307,476,282,3,745,40
515,159,203,3,615,720
751,957,266,3,478,503
303,171,128,6,733,137
731,670,404,1,375,420
217,891,259,12,678,730
186,257,289,2,225,285
580,408,249,10,135,112
884,122,242,32,644,774
381,588,119,3,115,169
482,239,33,10,790,0
688,721,390,12,343,433
431,482,314,17,792,800
746,25,352,11,566,430
858,153,270,32,519,603
403,825,370,11,413,481
861,194,347,32,0,145
334,131,281,10,605,660
113,90,324,32,565,722
258,423,39,29,466,515
103,200,77,3,778,0
472,286,158,10,483,484
464,264,43,17,708,785
895,884,18,3,659,155
489,428,348,11,736,794
362,29,322,10,411,469
741,959,377,32,189,283
571,310,373,3,675,3
505,462,311,11,765,0
478,40,36,32,723,2
316,224,138,32,561,673
16,463,374,13,693,734
404,448,373,11,699,740
547,187,158,26,598,719
605,411,313,11,835,1
193,398,64,10,461,491
239,728,396,10,350,374
426,844,115,33,0,0
615,732,393,14,276,384
626,624,414,27,442,476
635,724,369,32,354,482
681,77,298,2,689,0
410,475,141,32,217,232
849,932,347,10,332,354
155,808,376,21,391,377
875,874,305,31,496,616
506,406,17,10,434,597
609,383,268,11,3,4
52,648,167,10,822,70
769,765,201,2,701,804
502,441,291,3,755,43
305,722,28,29,160,233
286,78,401,32,533,600
799,263,44,11,731,782
715,405,138,10,320,319
461,350,41,10,601,611
435,410,231,3,73,162
374,971,379,32,272,263
441,620,332,10,544,683
164,450,187,14,70,176
790,229,90,11,681,741
300,557,107,3,134,216
641,609,55,10,285,271
285,879,412,3,147,235
450,594,345,17,590,644
321,925,372,29,317,324
883,322,29,11,645,703
166,501,52,11,385,389
242,840,342,32,362,466
707,278,351,3,38,125
458,116,81,3,121,147
61,539,395,6,482,570
511,532,328,32,722,776
820,262,323,10,165,213
459,797,374,18,337,391
434,979,344,9,330,350
131,750,49,17,195,194
100,751,15,3,230,243
273,994,347,20,319,323
406,422,379,3,731,733
941,766,408,6,239,318
649,28,113,32,726,1
135,31,362,11,479,302
162,280,76,32,558,672
828,325,11,11,801,802
727,813,397,6,222,320
204,92,366,10,534,608
555,113,169,23,827,3
660,810,405,32,172,297
118,625,75,32,60,207
393,437,391,32,600,705
574,555,118,3,51,198
620,170,411,11,8,140
888,106,156,3,1,5
