Name,Rank,Followers,Audience Country,Authentic Engagement,Engagement Avg.
485,965,207,10,591,617
928,815,371,32,269,402
162,280,76,32,558,672
98,657,42,10,241,255
48,968,26,10,64,103
705,869,205,10,680,712
840,290,411,11,793,0
161,66,301,32,2,3
453,34,329,17,479,305
685,442,27,3,401,517
377,900,265,32,404,534
608,603,309,17,692,709
503,806,349,32,336,443
676,626,126,23,95,129
514,770,185,32,685,13
896,575,408,32,400,495
436,817,207,3,654,718
130,789,28,32,87,187
88,838,139,31,747,28
546,161,284,3,422,537
365,928,405,3,727,228
744,556,155,3,44,152
805,826,390,17,353,344
6,605,41,11,325,309
558,570,348,32,440,655
163,859,237,11,545,684
125,666,42,21,268,246
133,369,277,3,21,111
839,805,342,10,476,516
938,289,56,2,414,693
118,625,75,32,60,207
16,463,374,13,693,734
653,854,158,10,788,15
132,138,275,32,562,661
876,905,209,28,548,628
832,742,84,10,106,102
822,454,30,10,360,494
219,52,191,25,479,304
772,192,320,26,255,364
597,370,50,3,438,552
261,633,111,14,112,124
249,686,94,32,63,117
287,895,16,29,152,161
716,329,269,10,169,204
937,419,345,11,772,0
381,588,119,3,115,169
406,422,379,3,731,733
538,212,97,3,670,772
305,722,28,29,160,233
197,531,161,19,108,159
856,934,182,10,721,747
156,691,209,31,460,791
603,291,350,11,3,5
497,710,26,32,125,264
852,381,289,32,31,89
788,814,306,10,525,547
783,367,112,10,380,408
831,373,82,3,265,501
471,19,180,32,1,3
619,912,42,26,32,97
275,111,161,3,1,3
793,523,397,6,505,577
706,105,399,10,467,497
776,129,386,10,358,434
99,255,221,10,398,436
444,449,308,11,815,0
355,260,58,10,704,753
507,198,55,11,798,1
328,279,29,11,724,789
703,607,336,31,535,668
378,399,123,3,129,371
589,983,267,32,394,473
918,387,11,11,633,688
899,760,260,33,0,681
769,765,201,2,701,804
418,496,114,3,200,276
553,664,410,32,278,393
260,684,264,11,583,708
54,679,414,12,369,424
455,211,170,10,588,642
663,744,407,17,253,337
75,98,126,2,2,299
95,355,153,11,286,345
762,950,55,32,18,64
150,242,70,10,728,766
927,535,58,19,161,358
555,113,169,23,827,3
170,631,6,32,136,375
307,476,282,3,745,40
954,208,162,11,521,664
336,734,18,32,181,240
742,445,105,32,306,329
201,924,1,10,154,189
142,63,358,3,780,0
889,492,327,10,781,12
591,536,414,32,326,554
116,533,85,21,273,278
886,818,19,28,179,193
319,673,311,10,554,631
148,393,283,32,54,94
