Name,Rank,Followers,Audience Country,Authentic Engagement,Engagement Avg.
795,226,62,11,758,137
293,43,258,10,214,306
55,526,216,10,91,87
126,73,139,11,209,142
94,922,349,32,356,351
188,323,308,32,0,7
870,803,396,12,296,316
259,727,117,11,773,0
576,830,124,3,13,35
64,409,90,2,305,400
16,463,374,13,693,734
751,957,266,3,478,503
749,956,110,32,764,21
448,119,276,10,688,715
447,704,211,32,559,745
200,86,47,32,312,352
554,758,46,32,89,163
859,652,409,31,261,412
371,15,251,33,30,22
505,462,311,11,765,0
494,659,390,3,196,486
112,864,66,17,37,88
938,289,56,2,414,693
134,783,373,32,372,414
529,554,118,32,155,200
600,47,92,32,619,701
416,705,72,3,23,156
101,195,130,10,696,735
542,687,160,32,25,51
778,285,232,32,274,338
788,814,306,10,525,547
953,97,326,32,582,699
704,807,256,11,580,667
585,314,80,11,475,580
569,839,54,26,43,106
48,968,26,10,64,103
65,549,39,3,245,373
492,403,40,11,491,539
44,662,378,3,291,494
341,397,343,32,795,1
827,207,27,32,762,3
412,426,391,11,691,713
186,257,289,2,225,285
67,274,121,10,552,586
760,112,157,10,2,3
604,250,311,32,0,141
955,35,292,10,214,428
224,505,63,12,270,383
810,327,44,11,617,659
73,775,396,26,248,341
908,716,46,14,152,210
133,369,277,3,21,111
299,488,192,3,55,127
884,122,242,32,644,774
868,717,37,12,186,267
64,456,88,2,257,343
686,503,171,3,85,160
723,99,134,11,5,7
433,477,410,32,484,583
670,455,112,32,141,294
903,529,151,3,33,166
614,233,190,10,500,546
674,79,149,11,7,138
551,178,160,29,653,760
292,700,259,32,208,0
7,669,98,23,138,122
768,845,409,11,284,258
74,458,246,26,834,86
872,917,207,8,637,645
700,326,141,32,331,456
339,792,373,25,388,405
817,862,411,23,240,248
715,405,138,10,320,319
937,419,345,11,772,0
582,349,2,32,595,727
557,348,227,10,258,245
483,33,102,32,720,0
231,446,1,2,468,595
538,212,97,3,670,772
516,362,394,32,742,799
890,757,11,3,283,290
181,1,296,10,569,593
178,696,314,33,0,580
413,330,412,11,713,801
418,496,114,3,200,276
300,557,107,3,134,216
202,513,209,25,2,3
777,55,368,3,775,1
652,809,95,3,770,63
419,57,177,10,212,300
220,418,346,11,750,137
960,636,51,32,105,254
301,413,17,23,502,581
889,492,327,10,781,12
636,952,79,3,746,38
525,377,191,32,185,272
103,200,77,3,778,0
839,805,342,10,476,516
158,44,23,32,734,1
92,281,55,10,663,714
